date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-09-28T00:00:00.000Z,216.639999,216.820007,214.710007,215.830002,87411000,185.8168972987,185.9712941238,184.1615006641,185.1221450366,87411000,0.0,1.0
2016-09-29T00:00:00.000Z,214.679993,216.869995,214.039993,216.399994,128070600,184.1357569955,186.0141699321,183.5868149034,185.6110397256,128070600,0.0,1.0
2016-09-30T00:00:00.000Z,216.300003,217.119995,215.360001,215.649994,117202900,185.5252752432,186.2286004368,184.71901483,184.9677482114,117202900,0.0,1.0
2016-10-03T00:00:00.000Z,215.779999,216.039993,215.039993,215.820007,83512100,185.0792563625,185.3022589411,184.4445369222,185.113572105,83512100,0.0,1.0
2016-10-04T00:00:00.000Z,214.679993,216.169998,213.990005,215.910004,119948100,184.1357569955,185.4137670921,183.5439390951,185.1907645136,119948100,0.0,1.0
2016-10-05T00:00:00.000Z,215.630005,216.130005,215.330002,215.410004,72816000,184.950603206,185.3794642154,184.6932840272,184.7619035041,72816000,0.0,1.0
2016-10-06T00:00:00.000Z,215.779999,216.039993,214.740005,215.369995,62927400,185.0792563625,185.3022589411,184.1872306093,184.7275869039,62927400,0.0,1.0
2016-10-07T00:00:00.000Z,215.039993,216.300003,214.190002,216.100006,89788300,184.4445369222,185.5252752432,183.7154809257,185.3537334126,89788300,0.0,1.0
2016-10-10T00:00:00.000Z,216.160004,216.699997,215.990005,216.160004,51855000,185.4051950183,185.8683589044,185.2593831328,185.4051950183,51855000,0.0,1.0
2016-10-11T00:00:00.000Z,213.429993,215.740005,212.580002,215.660004,130367400,183.0636044719,185.0449526281,182.3345484755,184.9763340088,130367400,0.0,1.0
2016-10-12T00:00:00.000Z,213.710007,214.320007,213.009995,213.589996,73866100,183.3037786453,183.8269890768,182.7033629395,183.2008425681,73866100,0.0,1.0
2016-10-13T00:00:00.000Z,213.009995,213.589996,211.210007,212.160004,101357000,182.7033629395,183.2008425681,181.1594735983,181.974306943,101357000,0.0,1.0
2016-10-14T00:00:00.000Z,213.119995,214.690002,213.029999,214.149994,93346200,182.7977123616,184.1443419352,182.7205208108,183.6811651832,93346200,0.0,1.0
